id,title,age_cat,rating_cat,genre_cat,runtime_cat,popularity_cat,score_cat,budget_cat,budget_efficiency_cat,director_age_cat,director_experience_cat,director_is_acclaimed,director_is_panned,director_efficiency_cat,star_age_cat,star_experience_cat,star_is_acclaimed,star_is_panned,star_efficiency_cat
1437,It Could Happen to You,very-old,PG,Comedy,medium,mid,high,mid,mid,adult,low,False,False,mid,adult,high,False,True,mid
1438,Wolf,very-old,R,Drama,long,high,low,very-high,mid,elderly,high,False,False,mid,adult,high,True,True,mid
1439,Mary Shelley's Frankenstein,very-old,R,Drama,long,high,high,high,mid,adult,mid,True,False,mid,adult,high,True,False,mid
1440,Exit to Eden,very-old,R,Comedy,medium,low,very-low,mid,low,elderly,mid,False,False,high,adult,low,False,False,none
1441,The Jungle Book,very-old,PG,Adventure,medium,mid,low,mid,mid,adult,low,False,False,high,young,low,False,False,high
1442,The Hudsucker Proxy,very-old,PG,Comedy,medium,high,high,high,low,adult,mid,True,False,mid,adult,low,True,False,mid
1443,Timecop,very-old,R,Action,medium,high,low,mid,high,adult,mid,False,False,low,adult,high,False,True,high
1444,The Santa Clause,very-old,PG,Comedy,medium,very-high,high,mid,high,adult,low,False,False,none,adult,low,False,False,none
1445,The Specialist,very-old,R,Action,medium,high,low,high,high,adult,low,False,False,none,adult,high,True,True,high
1446,The Pagemaster,very-old,G,Animation,short,mid,low,mid,low,adult,low,False,False,none,young,mid,True,False,high
1447,Shallow Grave,very-old,R,Crime,short,high,high,low,low,adult,low,False,False,none,young,low,False,False,none
1448,Serial Mom,very-old,R,Comedy,medium,mid,high,mid,low,adult,low,False,False,mid,adult,low,False,False,mid
1449,Bad Girls,very-old,R,Action,medium,mid,very-low,mid,low,adult,mid,False,False,mid,adult,low,False,False,low
1450,The Shadow,very-old,PG-13,Action,medium,mid,low,mid,mid,adult,low,False,True,low,adult,low,True,False,high
1451,Blue Sky,very-old,PG-13,Drama,medium,low,high,mid,low,young,low,False,False,low,adult,low,False,False,low
1452,Quiz Show,very-old,PG-13,Biography,long,high,very-high,high,low,adult,mid,True,False,high,adult,low,False,False,none
1453,Surviving the Game,very-old,R,Action,medium,mid,low,low,mid,adult,low,False,False,high,adult,mid,False,False,low
1454,Nell,very-old,PG-13,Drama,medium,mid,high,mid,high,adult,high,False,True,mid,adult,mid,True,False,high
1455,Major League II,very-old,PG,Comedy,medium,mid,low,mid,mid,adult,mid,False,True,mid,young,high,True,False,high
1456,Don Juan DeMarco,very-old,PG-13,Comedy,medium,mid,high,mid,mid,adult,low,False,False,none,adult,mid,True,False,mid
1457,Clifford,very-old,PG,Comedy,medium,low,low,mid,low,adult,low,False,False,none,adult,low,False,False,mid
1458,Thumbelina,very-old,G,Animation,short,mid,high,mid,low,adult,mid,True,False,mid,adult,low,True,False,high
1459,Double Dragon,very-old,PG-13,Action,medium,mid,very-low,low,low,adult,low,False,False,none,adult,low,False,False,none
1460,Death and the Maiden,very-old,R,Drama,medium,mid,high,mid,low,elderly,mid,False,False,low,adult,mid,True,False,high
1461,PCU,very-old,PG-13,Comedy,short,mid,high,low,low,adult,low,False,False,none,young,low,False,False,none
1462,The Postman,very-old,PG,Biography,medium,mid,very-high,low,high,adult,low,False,False,low,adult,low,False,False,none
1463,8 Seconds,very-old,PG-13,Biography,medium,low,high,low,mid,adult,mid,True,True,high,young,low,False,False,none
1464,The Madness of King George,very-old,PG-13,Biography,medium,mid,high,very-high,low,adult,low,False,False,none,elderly,low,False,False,none
1465,Nobody's Fool,very-old,R,Comedy,medium,mid,very-high,mid,mid,elderly,mid,False,False,low,elderly,high,True,True,mid
1466,The Secret of Roan Inish,very-old,PG,Drama,medium,low,very-high,low,mid,adult,high,True,False,mid,young,low,False,False,none
1467,Above the Rim,very-old,R,Crime,medium,mid,high,low,high,adult,low,False,False,none,young,low,False,False,none
1468,Police Academy: Mission to Moscow,very-old,PG,Comedy,short,mid,very-low,low,low,adult,low,False,False,high,adult,low,False,False,none
1469,On Deadly Ground,very-old,R,Action,medium,mid,very-low,high,low,adult,low,False,False,none,adult,mid,False,False,high
1470,Ready to Wear,very-old,R,Comedy,long,mid,very-low,mid,low,elderly,mid,True,True,mid,elderly,low,False,False,none
1471,Bullets Over Broadway,very-old,R,Comedy,medium,mid,very-high,mid,low,adult,high,True,False,mid,young,mid,False,False,mid
1472,Crooklyn,very-old,PG-13,Comedy,medium,low,high,mid,low,adult,high,True,False,high,adult,low,False,False,none
1473,Spanking the Monkey,very-old,Unrated,Comedy,medium,low,low,low,high,adult,low,False,False,none,young,low,False,False,none
1474,The Legend of Drunken Master,very-old,R,Action,medium,mid,very-high,mid,mid,adult,low,False,False,none,adult,mid,False,False,high
1475,Intersection,very-old,R,Drama,medium,low,very-low,high,low,elderly,low,False,False,low,adult,high,False,True,mid
1476,The Swan Princess,very-old,G,Animation,medium,mid,high,high,low,adult,low,False,False,none,elderly,low,False,False,none
1477,Renaissance Man,very-old,PG-13,Comedy,long,mid,low,high,low,adult,mid,True,False,high,adult,low,False,False,mid
1478,Jason's Lyric,very-old,R,Crime,medium,low,high,low,mid,adult,low,False,False,none,young,low,False,False,none
1479,The Cowboy Way,very-old,PG-13,Action,medium,low,low,high,low,adult,low,False,False,none,adult,low,False,False,none
1480,No Escape,very-old,R,Action,medium,mid,low,mid,low,adult,low,False,False,none,adult,low,False,False,low
1481,The Road to Wellville,very-old,R,Comedy,medium,mid,low,mid,low,adult,high,True,False,mid,adult,low,True,False,mid
1482,Highlander: The Final Dimension,very-old,PG-13,Action,medium,mid,very-low,mid,low,adult,low,False,False,none,adult,high,False,True,low
1483,Cemetery Man,very-old,R,Comedy,medium,mid,high,low,low,adult,low,False,False,none,adult,low,False,False,none
1484,Cabin Boy,very-old,PG-13,Adventure,short,low,very-low,low,low,young,low,False,False,none,adult,low,False,False,none
1485,Guarding Tess,very-old,PG-13,Comedy,medium,mid,low,mid,mid,adult,low,False,False,high,elderly,low,True,False,high
1486,Drop Zone,very-old,R,Action,medium,mid,low,high,low,adult,high,False,False,high,adult,mid,False,True,mid
1487,Death Wish: The Face of Death,very-old,R,Action,medium,low,very-low,low,low,adult,low,False,False,none,elderly,high,False,True,mid
1488,City Slickers II: the Legend of Curly's Gold,very-old,PG-13,Comedy,medium,mid,low,high,mid,adult,low,False,True,low,adult,mid,True,False,high
1489,The Ref,very-old,R,Comedy,medium,mid,high,mid,mid,adult,low,False,False,none,adult,low,False,False,none
1490,I.Q.,very-old,PG,Comedy,medium,mid,low,mid,mid,adult,high,False,False,low,adult,low,True,False,mid
1491,3 Ninjas Kick Back,very-old,PG,Action,medium,low,very-low,mid,low,adult,low,False,False,none,elderly,low,False,True,high
1492,The Favor,very-old,R,Comedy,medium,low,very-low,mid,low,adult,low,False,False,mid,adult,low,False,False,none
1493,The Paper,very-old,R,Comedy,medium,mid,high,low,high,adult,high,False,False,high,adult,high,True,True,high
1494,Terminal Velocity,very-old,PG-13,Action,medium,mid,low,high,low,adult,low,False,False,high,young,high,True,False,high
1495,China Moon,very-old,R,Crime,medium,low,low,mid,low,adult,low,False,False,none,adult,low,True,False,mid
1496,Little Odessa,very-old,R,Crime,medium,low,high,low,low,young,low,False,False,none,adult,low,False,False,none
1497,Fresh,very-old,R,Crime,medium,mid,very-high,low,mid,young,low,False,False,none,young,low,False,False,none
1498,Leprechaun 2,very-old,R,Comedy,short,low,very-low,low,mid,adult,low,False,False,none,young,low,False,True,high
1499,Love Affair,very-old,PG-13,Comedy,medium,low,low,very-high,low,adult,low,False,False,none,adult,mid,False,True,mid
1500,Mixed Nuts,very-old,PG-13,Comedy,medium,mid,very-low,mid,low,adult,low,False,False,high,adult,high,True,False,mid
1501,Silent Fall,very-old,R,Drama,medium,low,low,high,low,adult,mid,True,True,high,adult,high,False,False,mid
1502,The Air Up There,very-old,PG,Comedy,medium,low,low,mid,mid,adult,low,False,False,low,adult,mid,False,False,high
1503,A Low Down Dirty Shame,very-old,R,Action,medium,low,low,mid,mid,adult,low,False,False,high,adult,low,False,False,high
1504,Swimming with Sharks,very-old,R,Comedy,medium,mid,high,low,low,young,low,False,False,none,adult,low,False,False,none
1505,I Love Trouble,very-old,PG,Action,long,mid,very-low,high,low,adult,low,False,False,mid,adult,high,False,False,mid
1506,Blankman,very-old,PG-13,Action,medium,low,very-low,high,low,adult,low,False,False,mid,adult,low,False,False,high
1507,Mrs. Parker and the Vicious Circle,very-old,R,Biography,long,low,high,low,low,adult,mid,False,False,mid,adult,low,False,False,none
1508,Barcelona,very-old,PG-13,Comedy,medium,low,high,low,mid,adult,low,True,False,high,adult,low,False,False,none
1509,Pred dozhdot,very-old,Unrated,Drama,medium,mid,very-high,low,low,adult,low,False,False,none,adult,low,False,False,none
1510,Burnt by the Sun,very-old,R,Drama,long,mid,very-high,low,low,adult,low,False,False,none,adult,low,False,False,none
1511,There Goes My Baby,very-old,R,Comedy,medium,low,high,mid,low,adult,low,False,False,mid,adult,low,False,False,low
1512,Radioland Murders,very-old,PG,Comedy,medium,low,low,mid,low,adult,low,False,False,none,adult,low,False,False,none
1513,Being Human,very-old,PG-13,Comedy,long,low,very-low,high,low,adult,low,False,False,low,adult,high,True,True,high
1514,Jimmy Hollywood,very-old,R,Crime,medium,low,very-low,high,low,adult,high,True,True,high,adult,mid,True,False,mid
1515,Squanto: A Warrior's Tale,very-old,PG,Adventure,medium,low,low,mid,low,adult,low,False,False,none,young,low,False,False,none
1516,My Summer Story,very-old,PG,Comedy,short,low,low,mid,low,adult,mid,True,True,high,adult,low,False,True,high
1517,Getting Even with Dad,very-old,PG,Comedy,medium,low,very-low,high,low,adult,mid,False,False,mid,young,mid,True,False,high
1518,Rapa Nui,very-old,R,Action,medium,low,high,mid,low,adult,mid,False,False,mid,young,low,False,False,high
1519,Heat,very-old,R,Crime,long,very-high,very-high,very-high,high,adult,mid,True,False,mid,adult,high,True,True,mid
1520,Clueless,very-old,PG-13,Comedy,medium,very-high,high,mid,high,adult,mid,False,False,high,young,low,False,False,none
1521,Se7en,very-old,R,Crime,long,very-high,very-high,high,high,adult,low,False,False,high,adult,low,True,False,high
1522,Braveheart,very-old,R,Biography,long,very-high,very-high,very-high,mid,adult,low,False,False,none,adult,high,True,False,high
1523,Apollo 13,very-old,PG,Adventure,long,very-high,very-high,high,high,adult,high,False,False,high,adult,high,True,False,high
1524,The Usual Suspects,very-old,R,Crime,medium,very-high,very-high,low,high,adult,low,False,False,none,adult,low,False,False,low
1525,Jumanji,very-old,PG,Adventure,medium,very-high,high,very-high,high,adult,low,False,False,high,adult,high,True,True,high
1526,Casino,very-old,R,Crime,long,very-high,very-high,high,mid,adult,high,True,False,mid,adult,high,True,False,mid
1527,Congo,very-old,PG-13,Action,medium,mid,very-low,high,high,adult,low,False,False,mid,adult,low,False,False,none
1528,Batman Forever,very-old,PG-13,Action,long,very-high,very-low,very-high,high,adult,high,True,False,mid,adult,high,False,False,mid
1529,Kids,very-old,Other,Drama,medium,high,high,low,high,adult,low,False,False,none,young,low,False,False,none
1530,Toy Story,very-old,G,Animation,short,very-high,very-high,high,high,adult,low,False,False,none,adult,high,True,False,high
1531,Desperado,very-old,R,Action,medium,very-high,high,low,high,young,low,False,False,high,adult,low,False,False,none
1532,Die Hard with a Vengeance,very-old,R,Action,long,very-high,very-high,very-high,high,adult,mid,True,False,high,adult,high,True,True,mid
1533,Mortal Kombat,very-old,PG-13,Action,medium,very-high,low,mid,high,adult,low,False,False,none,adult,high,False,True,low
1534,Mallrats,very-old,R,Comedy,medium,very-high,high,low,low,young,low,True,False,high,young,low,False,False,none
1535,12 Monkeys,very-old,R,Other,long,very-high,very-high,mid,high,adult,mid,True,False,mid,adult,high,True,True,mid
1536,Leaving Las Vegas,very-old,R,Drama,medium,very-high,very-high,low,high,adult,mid,False,False,low,adult,high,False,True,mid
1537,Showgirls,very-old,Other,Drama,long,high,very-low,high,low,adult,mid,True,False,high,young,low,False,False,none
1538,Before Sunrise,very-old,R,Drama,medium,very-high,very-high,low,mid,adult,low,True,False,high,young,mid,False,False,mid
1539,Friday,very-old,R,Comedy,medium,very-high,high,low,high,young,low,False,False,none,young,low,False,False,none
1540,Sense and Sensibility,very-old,PG,Drama,long,very-high,very-high,mid,high,adult,low,True,False,high,adult,low,False,False,none
1541,Waterworld,very-old,PG-13,Action,long,very-high,low,very-high,mid,adult,mid,False,False,mid,adult,high,True,False,high
1542,The Basketball Diaries,very-old,R,Biography,medium,very-high,high,low,mid,adult,low,False,False,none,young,low,False,False,none
1543,Bad Boys,very-old,R,Action,medium,very-high,high,mid,high,adult,low,False,False,none,young,low,False,False,low
1544,Billy Madison,very-old,PG-13,Comedy,short,very-high,high,mid,mid,adult,low,False,False,mid,young,low,False,False,none
1545,Mighty Morphin Power Rangers: The Movie,very-old,PG,Action,medium,mid,very-low,mid,high,adult,low,False,False,none,young,low,False,False,none
1546,GoldenEye,very-old,PG-13,Action,long,very-high,high,very-high,high,adult,low,False,False,low,adult,low,False,False,none
1547,Species,very-old,R,Action,medium,high,low,high,high,adult,mid,False,False,mid,young,low,False,False,none
1548,Outbreak,very-old,R,Action,long,very-high,high,high,high,adult,mid,True,False,mid,adult,mid,True,False,high
1549,Four Rooms,very-old,R,Comedy,medium,very-high,high,low,mid,young,low,False,False,high,adult,low,False,False,low
1550,The Quick and the Dead,very-old,R,Action,medium,high,high,high,low,adult,mid,True,False,mid,adult,low,False,True,mid
1551,Hackers,very-old,PG-13,Comedy,medium,high,low,mid,low,adult,low,False,False,none,young,low,False,False,none
1552,Casper,very-old,PG,Comedy,medium,very-high,low,high,high,adult,low,False,False,none,adult,low,False,False,mid
1553,Tank Girl,very-old,R,Action,medium,mid,very-low,mid,low,adult,low,False,True,mid,adult,low,False,False,none
1554,Pocahontas,very-old,G,Animation,short,very-high,high,high,high,adult,low,False,False,none,adult,high,True,False,high
1555,A Goofy Movie,very-old,G,Animation,short,mid,high,mid,mid,adult,low,False,False,none,adult,low,False,False,none
1556,Dangerous Minds,very-old,R,Biography,medium,high,high,mid,high,adult,low,False,False,none,adult,mid,False,True,mid
1557,Crimson Tide,very-old,R,Action,medium,very-high,high,high,mid,adult,high,True,False,high,elderly,high,True,True,mid
1558,To Die For,very-old,R,Comedy,medium,mid,high,mid,mid,adult,mid,False,True,mid,young,low,False,False,low
1559,Sabrina,very-old,PG,Comedy,long,mid,low,high,low,elderly,mid,True,False,high,adult,high,True,False,high
1560,While You Were Sleeping,very-old,PG,Comedy,medium,high,high,mid,high,adult,low,False,True,high,adult,low,False,False,none
1561,Get Shorty,very-old,R,Comedy,medium,high,high,high,high,adult,mid,False,False,mid,elderly,high,True,True,mid
1562,Babe,very-old,G,Comedy,medium,very-high,high,high,high,adult,low,False,False,none,adult,low,False,False,none
1563,Dead Man Walking,very-old,R,Crime,long,high,very-high,mid,high,adult,low,False,False,none,adult,mid,True,False,mid
1564,The Brady Bunch Movie,very-old,PG-13,Comedy,medium,mid,low,mid,high,adult,low,False,False,none,adult,low,False,False,low
1565,Johnny Mnemonic,very-old,R,Action,medium,high,low,mid,low,adult,low,False,False,none,adult,mid,False,False,high
1566,The Bridges of Madison County,very-old,PG-13,Drama,long,high,very-high,mid,high,elderly,high,True,False,high,elderly,high,True,True,high
1567,Strange Days,very-old,R,Action,long,high,high,high,low,adult,low,False,False,mid,adult,low,True,False,low
1568,Cutthroat Island,very-old,PG-13,Action,long,mid,low,very-high,low,adult,high,False,True,mid,adult,low,False,True,low
1569,Judge Dredd,very-old,R,Action,medium,very-high,low,very-high,mid,young,low,False,False,none,adult,high,True,True,high
1570,The City of Lost Children,very-old,R,Other,medium,high,very-high,mid,low,adult,low,False,False,none,adult,low,False,False,none
1571,Copycat,very-old,R,Drama,long,high,high,mid,mid,adult,low,False,False,low,adult,mid,True,False,high
1572,Powder,very-old,PG-13,Drama,medium,mid,high,low,high,adult,low,False,False,none,adult,low,False,False,none
1573,A Little Princess,very-old,G,Drama,medium,mid,very-high,mid,low,adult,low,True,False,high,young,low,False,False,none
1574,The American President,very-old,PG-13,Comedy,medium,high,high,very-high,mid,adult,high,True,True,high,adult,high,True,False,high
1575,Under Siege 2: Dark Territory,very-old,R,Action,medium,mid,low,very-high,mid,adult,mid,False,True,mid,adult,high,False,True,high
1576,Mr. Holland's Opus,very-old,PG,Drama,long,mid,high,mid,high,adult,mid,False,False,high,adult,high,False,False,mid
1577,The Prophecy,very-old,R,Action,medium,mid,high,low,mid,adult,low,False,False,none,adult,mid,False,False,low
1578,Dead Man,very-old,R,Adventure,long,high,very-high,low,low,adult,mid,True,False,high,adult,high,True,False,mid
1579,Ace Ventura: When Nature Calls,very-old,PG-13,Adventure,medium,very-high,high,high,high,adult,low,False,False,none,adult,mid,False,False,high
1580,First Knight,very-old,PG-13,Action,long,high,low,high,mid,adult,low,False,False,high,elderly,high,True,False,mid
1581,Jade,very-old,R,Crime,medium,mid,very-low,high,low,elderly,mid,False,True,mid,adult,low,False,False,none
1582,The Big Green,very-old,PG,Comedy,medium,low,low,mid,mid,adult,low,False,False,none,adult,mid,False,False,high
1583,Virtuosity,very-old,R,Action,medium,mid,low,high,low,adult,low,False,True,high,adult,mid,True,False,mid
1584,Halloween: The Curse of Michael Myers,very-old,R,Horror,short,mid,very-low,low,high,young,low,False,False,none,elderly,mid,False,True,high
1585,Father of the Bride Part II,very-old,PG,Comedy,medium,mid,low,high,mid,adult,low,False,True,mid,adult,high,True,True,mid
1586,Assassins,very-old,R,Action,long,high,low,high,low,elderly,high,True,False,high,adult,high,True,True,high
1587,A Walk in the Clouds,very-old,PG-13,Drama,medium,mid,high,mid,mid,elderly,low,False,False,high,adult,mid,False,False,high
1588,Rob Roy,very-old,R,Adventure,long,mid,high,mid,mid,adult,mid,False,False,mid,adult,mid,True,False,high
1589,Dead Presidents,very-old,R,Action,medium,mid,high,mid,mid,young,low,True,False,high,young,low,False,False,none
1590,The Baby-Sitters Club,very-old,PG,Comedy,medium,low,low,low,mid,adult,low,False,False,none,young,low,False,False,none
1591,Waiting to Exhale,very-old,R,Comedy,long,mid,low,mid,high,adult,low,False,False,none,adult,low,False,False,none
1592,Welcome to the Dollhouse,very-old,R,Comedy,short,mid,very-high,low,high,adult,low,False,False,none,young,low,False,False,none
1593,The Indian in the Cupboard,very-old,PG,Drama,medium,mid,low,high,low,adult,mid,False,False,mid,young,low,False,False,none
1594,Rumble in the Bronx,very-old,R,Action,short,mid,high,low,high,adult,low,False,False,high,adult,mid,True,False,high
1595,Devil in a Blue Dress,very-old,R,Crime,medium,mid,high,mid,low,adult,low,False,False,none,adult,mid,True,False,mid
1596,How to Make an American Quilt,very-old,PG-13,Comedy,medium,mid,low,mid,high,adult,low,False,False,none,young,mid,True,False,mid
1597,Tales from the Crypt: Demon Knight,very-old,R,Action,medium,mid,high,mid,mid,adult,low,False,False,mid,young,low,False,False,none
1598,The Net,very-old,PG-13,Action,medium,high,low,mid,high,elderly,low,False,False,low,adult,low,False,False,none
1599,Living in Oblivion,very-old,R,Comedy,medium,mid,very-high,low,mid,adult,low,False,False,low,adult,low,False,False,none
1600,Dracula: Dead and Loving It,very-old,PG-13,Comedy,short,mid,low,high,low,elderly,mid,False,False,mid,elderly,mid,True,False,high
1601,Village of the Damned,very-old,R,Horror,medium,mid,low,mid,low,adult,high,True,False,mid,adult,mid,False,True,mid
1602,Wild Bill,very-old,R,Action,medium,low,low,high,low,adult,high,False,False,mid,adult,high,True,False,mid
1603,Grumpier Old Men,very-old,PG-13,Comedy,medium,mid,high,mid,mid,adult,mid,False,True,mid,elderly,low,False,False,low
1604,Boys on the Side,very-old,R,Comedy,medium,mid,high,mid,mid,elderly,high,False,False,high,adult,mid,False,True,high
1605,Tales from the Hood,very-old,R,Crime,medium,low,high,low,mid,adult,low,False,False,low,adult,low,False,False,none
1606,Money Train,very-old,R,Action,medium,mid,low,very-high,low,adult,low,False,False,high,adult,high,False,True,mid
1607,Candyman: Farewell to the Flesh,very-old,R,Horror,medium,mid,very-low,low,mid,adult,low,False,True,low,adult,low,False,False,mid
1608,The Crossing Guard,very-old,R,Drama,medium,mid,low,low,low,adult,low,False,False,low,adult,high,True,True,mid
1609,Nixon,very-old,R,Biography,long,mid,high,high,low,adult,high,True,False,high,adult,mid,True,False,low
1610,Hideaway,very-old,R,Other,medium,low,very-low,mid,low,adult,low,False,True,high,adult,mid,True,True,mid
1611,Underground,very-old,Unrated,Comedy,long,high,very-high,mid,low,adult,low,False,False,low,adult,low,False,False,none
1612,Mighty Aphrodite,very-old,R,Comedy,medium,mid,high,mid,low,elderly,high,True,False,mid,elderly,high,True,False,low
1613,Total Eclipse,very-old,R,Biography,medium,mid,high,low,low,adult,low,False,False,mid,young,low,False,False,none
1614,Fair Game,very-old,R,Action,medium,mid,very-low,high,low,young,low,False,False,none,adult,low,False,False,none
1615,Lord of Illusions,very-old,R,Horror,medium,mid,low,mid,mid,adult,low,False,False,low,adult,low,False,False,mid
1616,The Scarlet Letter,very-old,R,Drama,long,mid,very-low,high,low,adult,mid,True,False,low,adult,low,False,False,high
1617,Nick of Time,very-old,R,Action,medium,mid,low,high,low,adult,high,False,False,high,adult,high,True,False,mid
1618,Things to Do in Denver When You're Dead,very-old,R,Crime,medium,mid,high,low,low,adult,low,False,False,none,adult,low,False,False,low
1619,Safe,very-old,R,Drama,medium,mid,high,low,low,adult,low,False,False,high,adult,low,False,False,none
1620,Sudden Death,very-old,R,Action,medium,mid,low,high,mid,adult,mid,False,False,mid,adult,high,False,True,high
1621,Canadian Bacon,very-old,PG,Comedy,medium,mid,low,mid,low,adult,low,False,False,none,adult,mid,False,False,high
1622,Screamers,very-old,R,Horror,medium,mid,high,mid,low,adult,low,False,False,none,adult,high,True,False,mid
1623,Vampire in Brooklyn,very-old,R,Comedy,medium,mid,very-low,mid,low,adult,high,True,False,high,adult,high,True,False,high
1624,A Kid in King Arthur's Court,very-old,PG,Adventure,short,low,very-low,mid,low,adult,low,False,True,high,young,low,False,False,high
1625,Othello,very-old,R,Drama,long,low,high,mid,low,adult,low,False,False,none,adult,low,False,False,mid
